Club Address,Club Number,Club E-mail,Club name
"Gobel- von- Drechen- Straße 8a, D-59069 Hamm-Drechen, Germany",+49 2385 913500,info@gc-hamm.de,Golfclub Hamm e.V.
"Lehnfurther Weg 1, D-61118 Bad Vilbel-Dortelweil, Germany",+49 6101 9893730,info@bvgc.de,Bad Vilbeler Golfclub Lindenhof e.V.
"Salzbergstraße 33, D-83471 Berchtesgaden, Germany",+49 8652 2100,info@golfclub-berchtesgaden.de,Golf-Club Berchtesgaden e.V.
"Weiherhaus 5, D-82216 Rottbach, Germany",+49 8135 93290,info@rottbach.de,Golfanlage Rottbach
"Remse 27, D-33428 Marienfeld, Germany",+49 5247 8880,info@gc-marienfeld.de,Golfclub Marienfeld e.V.
"Am Soll 3, D-21039 Escheburg, Germany",+49 4152 83204,info@gc-escheburg.de,Golf-Club Escheburg e.V.
"Haus Dürresbach, Sövenerstraße, D-53773 Hennef, Germany",+49 2242 6501,sekretariat@gcrs.de,Golf Club Rhein-Sieg e.V.
"Ardestorfer Weg 1, D-21614 Buxtehude, Germany",+49 4161 87699,info@gut-immenbeck.de,Golf Club Gut Immenbeck e.V.
"Chausseehaus 17, D-65199 Wiesbaden, Germany",+49 611 460238,info@wiesbadener-golfclub.de,Wiesbadener Golf Club e.V.
"Am Golfplatz 1, D-14979 Großbeeren/OT Neubeeren, Germany",+49 33701 32890,berlin@golfrange.de,GolfRange GmbH - GolfRange Berlin-Großbeeren
"Im Schlingerort 5, D-49179 Ostercappeln-Venne, Germany",+49 5476 200,golfclub.varus@t-online.de,Golfclub Varus e.V.
"Am Golfplatz 2, D-97084 Würzburg, Germany",+49 931 67890,info@golfclub-wuerzburg.de,Golf Club Würzburg e.V.
"Ödengrub 1, D-92431 Neunburg vorm Wald, Germany",+49 9439 466,info@glcoberpfaelzerwald.de,Golf- und Land Club Oberpfälzer Wald e.V.
"Reinsdorfer Straße 29, D-08066 Zwickau, Germany",+49 375 2040400,info@golfplatz-zwickau.de,Golfclub Zwickau e.V.
"Unterer Auweg 6, D-86169 Augsburg, Germany",+49 821 2413799,info@golfclub-gersthofen.de,Golfclub Gersthofen e.V.
"Brunnenstraße 11, D-53578 Windhagen-Rederscheid, Germany",+49 2645 8041,info@golfcourse-siebengebirge.de,Golf Course Siebengebirge
"Schultenallee 1, D-33775 Versmold, Germany",+49 5423 42872,info@golfclub-peckeloh.de,Golf Club Schultenhof Peckeloh e.V.
"Alte Zuckerfabrik, D-18195 Tessin, Germany",+49 38205 12767,post@golfclub-tessin.de,Golfclub Tessin e.V.
"Mühlweg/Ecke Koburger Straße, D-04416 Markkleeberg, Germany",+49 341 3582686,kontakt@golfclub-markkleeberg.de,Golfclub Markkleeberg e.V.
"Brunnwies 5, D-94542 Haarbach, Germany",+49 8535 96010,golfresort@quellness-golf.com,"Quellness Golf Resort Bad Griesbach, Golfplatz Brunnwies"
"Düneburg 1, D-49733 Haren/Ems, Germany",+49 5932 72740,golf@gut-dueneburg.de,Golfpark Gut Düneburg
"Robert-Koch-Allee, D-82131 Gauting, Germany",+49 89 8500444,eberle-golf@web.de,"Münchner Golfparks Eberle, Golfpark Gauting"
"Waldstraße 27, D-31303 Burgdorf/Ehlershausen, Germany",+49 5085 7628,info@burgdorfergolfclub.de,Burgdorfer Golfclub e.V.
"Rheingoldstraße 215, D-68199 Mannheim, Germany",+49 621 851720,mannheim@golf-absolute.de,Golfclub Mannheim an der Rheingoldhalle
"An der Floßlände 3, D-85221 Dachau, Germany",+49 8131 10879,info@gcdachau.de,Golfclub Dachau e.V.
"Schönbronn 1, D-91592 Buch am Wald, Bavaria, Germany",+49 9868 959530,info@gp-rbg.de,Golfpark Rothenburg-Schönbronn
"Am Golfplatz 1, D-59457 Werl, Germany",+49 2377 6307,info@gc-werl.de,Golf Club Werl e.V.
"Kaiser-Friedrich-Promenade/Kurpark, D-61348 Bad Homburg, Germany",+49 6172 24561,kurpark@royal-hgc.de,"Royal Homburger Golf Club 1899, Old Course"
"Hölsterloh 6, D-59929 Brilon, Germany",+49 2961 53550,info@golfclub-brilon.de,Golfclub Brilon e.V.
"Westfalenstr. 332, D-48165 Münster-Hiltrup, Germany",+49 2501 5948719,info@golfen-in-hiltrup.de,Golfen in Hiltrup
"Hohe Klint 32, D-27478 Cuxhaven-Oxstedt, Germany",+49 4723 2737,info@golf-cuxhaven.de,"Küsten-Golfclub ""Hohe Klint"" Cuxhaven e.V."
"Am Leckermühlbach 2, D-49163 Bohmte, Germany",+49 5471 952520,info@gc-arenshorst.de,Golfclub Gut Arenshorst
"Bockholter Straße 475, D-45659 Recklinghausen, Germany",+49 2361 93420,info@gc-recklinghausen.de,Vestischer Golf Club Recklinghausen e.V.
"Junkersstr. 52, D-06847 Dessau, Germany",+49 340 5025664,info@golfpark-dessau.de,Golfpark Dessau e.V.
"Golf-Club Munster, D-29633 Munster/Kohlenbissen, Germany",+49 5192 887059,info@golfclubmunster.de,Golf-Club Munster e.V.
"Am Golfplatz 1, D-63584 Gründau/Gettenbach, Germany",+49 6058 91638470,golf@gut-huehnerhof.de,Golfpark Gut Hühnerhof
"Holzheimer Str. 2, D-89407 Dillingen, Germany",+49 9071 705958,info@gc-dillingen.de,Golfclub Dillingen Nusser Alm GmbH
"Herrschaftslüssen 1, D-89584 Ehingen-Rißtissen, Germany",+49 7392 7006995,info@golfclub-donau-riss.de,Golfclub Donau-Riss e.V. Ehingen-Rißtissen
"Greilack 29, D-47546 Kalkar-Niedermörmter, Germany",+49 2824 924092,info@muehlenhof.net,Mühlenhof Golf & Country Club e.V.
"Wemkenstr. 13, D-26180 Rastede, Germany",+49 4402 7240,info@oldenburgischer-golfclub.de,Oldenburgischer Golfclub e.V.
"Hofgut Wißberg, D-55578 St. Johann, Germany",+49 6701 20080,info@gc-rheinhessen.de,Golfclub Rheinhessen Hofgut Wißberg St. Johann e.V.
"Golfplatz 1, D-77767 Appenweier, Germany",+49 7843 993240,sekretariat@golfclub-urloffen.de,Golfclub Urloffen e.V.
"Golfplatz 1, D-78166 Donaueschingen, Germany",+49 771 84525,golf@oeschberghof.com,Land- und Golf-Club Öschberghof
"Gut Sterz 3, D-82547 Beuerberg, Germany",+49 8179 617,info@gc-beuerberg.de,Golfclub Beuerberg e.V.
"Patting 1, D-83083 Riedering, Germany",+49 8032 1030,info@golf-patting.de,Golfanlage Patting-Hochriesblick
"Hillstett 69, D-92444 Rötz, Germany",+49 9976 2017247,info@golf-eixendorfer-see.de,Golfclub am Eixendorfer See GmbH
"Golfparkallee 2, D-68647 Biblis-Wattenheim, Germany",+49 6245 90600,biblis-wattenheim@golf-absolute.de,Golfclub Biblis Wattenheim e.V.
"Auf dem Altscheid, D-35687 Dillenburg, Germany",+49 2771 5001,info@gc-dillenburg.de,Golfclub Dillenburg e.V.
"An der Karlsbrücke 10, Navi-Adresse: Saalburgchausse 2 A, D-61350 Bad Homburg, Germany",+49 6172 306808,info@royal-hgc.de,Royal Homburger Golfclub 1899 e.V.
"Am Kellerborn 2, D-56814 Ediger-Eller, Germany",+49 2675 911511,info@golfcochem.eu,Golfclub Cochem/Mosel
"GP Dübener Heide, Noitzscher Straße, D-04838 Noitzsch / Hohenprießnitz, Germany",+49 34242 50302,info@golfclub-leipzig.de,1. Golfclub Leipzig e.V. -  Golfplatz Dübener Heide
"Braasche 3, D-29499 Zernien-Braasche, Germany",+49 5863 556,golfclub.goehrde@t-online.de,Golf-Club an der Göhrde e.V.
"Südstraße 96, D-32130 Enger-Pödinghausen, Germany",+49 5224 79751,info@gc-rl.de,Golfclub Ravensberger Land
"Hölterweg 8, D-49549 Ladbergen, Germany",+49 5485 831813,info@golf-ladbergen.de,Golfclub Ladbergen e. V.
"Kuhlendahler Straße 283, D-42553 Velbert, Germany",+49 2053 923290,golfclub-velbert@t-online.de,Golfclub Velbert-Gut Kuhlendahl e.V.
"Freisinger Straße 102, D-85737 Ismaning-Fischerhäuser, Germany",+49 173 6666877,kontakt@golfcenter-ismaning.de,Golfcenter Ismaning
"Domänenweg 12, D-34513 Waldeck, Germany",+49 5623 99890,info@golfeninwaldeck.de,Golfclub Waldeck am Edersee
"Hofstraße 9-11, D-36341 Lauterbach/Sickendorf, Germany",+49 6641 96130,office@gc-lauterbach.de,Golfpark Schlossgut Sickendorf GmbH
"Kemnitzer Schmiedeweg 1, D-14542 Werder/OT Kemnitz, Germany",+49 3327 66370,info@dermaerkische.de,Märkischer Golfclub Potsdam e.V.
"Lindauer Straße 56, D-86199 Augsburg, Germany",+49 821 906500,augsburg@golfrange.de,Golfclub GolfRange Augsburg
"Am Golfplatz, D-73275 Ohmden, Germany",+49 7023 742663,info@golfclub-teck.de,Golfclub Teck e.V.
"Am Golfplatz 1, D-76879 Essingen bei Landau, Germany",+49 6348 4282,landau-essingen@golf-absolute.de,Golfanlage Landgut Dreihof
"Reichsmarkstraße 12, D-44265 Dortmund, Germany",+49 231 774133,info@dortmunder-golfclub.de,Dortmunder Golf Club e.V.
"Kirchberg 3, D-83339 Chieming, Germany",+49 8667 79358,golfclub@gut-ising.de,Golf Club Gut Ising
"Am Osterberg 2, D-31848 Bad Münder, Germany",+49 5042 503276,info@golfclub-deister.de,GC Am Deister e.V.
"Im Bachgrund 1, D-64572 Worfelden, Germany",+49 6152 807900,buettelborn-worfelden@golf-absolute.de,Golfclub Bachgrund e.V.
"Römerstr. 94, Websweiler Hof, D-66424 Homburg/Saar, Germany",+49 6841 777760,info@golfsaar.de,Golf Club Homburg/Saar Websweiler Hof e.V.
"Rennbahnstraße 24-26, D-40629 Düsseldorf-Grafenberg, Germany",+49 211 964950,info@golf-duesseldorf.de,Golfclub Düsseldorf-Grafenberg e.V.
"Kressbach Hofgut 11, D-72072 Tübingen, Germany",+49 7071 9709060,info@gc-schloss-kressbach.de,Golfclub Schloss Kressbach GmbH
"Rauschbergstraße 1a, D-83324 Ruhpolding-Zell, Germany",+49 8663 2461,info@golfclub-ruhpolding.de,Golf Club Ruhpolding e.V.
"Heerstraße 2, D-53859 Niederkassel-Uckendorf, Germany",+49 2208 506790,info@golfclubclostermannshof.de,Golfanlage Clostermanns Hof
"Fremersbergstraße 127, D-76530 Baden-Baden, Germany",+49 7221 23579,info@golf-club-baden-baden.de,Golf Club Baden-Baden e.V.
"Am Golfplatz 1, D-18119 Rostock-Warnemünde, Germany",+49 381 7786830,info@golf-warnemuende.de,Golfanlage Warnemünde
"Anfahrt über Walnussweg, D-96052 Bamberg, Germany",+49 951 9684331,sekretariat@gc-hauptsmoorwald.de,Golfclub Hauptsmoorwald Bamberg e.V.
"Am Golfplatz 1, D-16540 Hohen Neuendorf OT Stolpe, Germany",+49 3303 549214,info@golfclub-stolperheide.de,Berliner Golfclub Stolper Heide e.V.
"Angerpoint 4, D-83329 Waging am See, Germany",+49 170 5214630,golf-waging@live.de,Golfpark Waging am See
"An der Alten Buche 8, D-64760 Oberzent/Odenwald, Germany",+49 6068 912050,info@golfclub-buchenhof.de,Golf- und Landclub Buchenhof Hetzbach e.V.
"1. Landwehr 20, D-28865 Lilienthal, Germany",+49 4298 697069,clubhaus@golfclub-lilienthal.de,Golfclub Lilienthal e.V.
"Grubenstraße 24, D-08301 Bad Schlema, Germany",+49 1522 2134156,info@golfpark-westerzgebirge.de,Golfpark Westerzgebirge GmbH & C. KG
"Minoritenhof 1, D-93161 Sinzing, Germany",+49 941 3786100,welcome@golfsinzing.de,Golf & Yachtclub Gut Minoritenhof
"Am Golfplatz 1, D-83626 Valley, Germany",+49 8024 902790,info@golfvalley.de,Golf Valley München
"Rittergut Birkhof, D-41352 Korschenbroich, Germany",+49 2131 510660,golfpark@birkhof.de,Golfpark Rittergut Birkhof
"Am Golfplatz 3, D-23669 Timmendorfer Strand, Germany",+49 4503 704400,info@gc-timmendorf.de,Golfanlage Seeschlösschen Timmendorfer Strand
"Karlshäuser Weg, D-75248 Ölbronn-Dürrn, Germany",+49 7237 9100,info@golfclub-pf.de,Golfclub Pforzheim Karlshäuser Hof e.V.
"In der Büre 20, D-59955 Winterberg, Germany",+49 2981 1770,info@golfclub-winterberg.de,Golf-Club Winterberg e.V.
"Hilzhofen 23, D-92367 Pilsach, Germany",+49 9182 9319140,info@juragolf.de,Jura Golf Hilzhofen e.V.
"Hofgut Trages, D-63579 Freigericht, Germany",+49 6055 9394055,trages@golf-absolute.de,Golfpark Trages
"Landgut Hof Hayna, D-64560 Riedstadt-Leeheim, Germany",+49 6158 747385,sekretariat@kiawahgolf.de,Kiawah Golf Club Landgut Hof Hayna e.V.
"Schwöbber 8, D-31855 Aerzen, Germany",+49 5154 9870,info@hamelner-golfclub.de,Hamelner Golfclub e.V. Schloss Schwöbber
"Drewinscher Weg 1, D-17429 Neppermin-Balm, Germany",+49 38379 28199,golfhus@golfhotel-usedom.de,Golfclub Balmer See-Insel Usedom e.V.
"Pater-Briers-Weg 85, D-52511 Geilenkirchen, North Rhine-Westphalia, Germany",+49 2451 1234,s.davids@golfpark-loherhof.de,Golfpark Loherhof
"Am Golfplatz 1, D-01723 Wilsdruff, OT Herzogswalde, Germany",+49 35209 310590,info@golfclub-herzogswalde.de,Golfclub Herzogswalde GmbH
"Am Dorfplatz 3, D-94542 Haarbach/Uttlau, Germany",+49 8535 18949,golfresort@quellness-golf.com,"Quellness Golf Resort Bad Griesbach, St. Wolfgang Golfplatz Uttlau"
"Beim Bildstöckle, D-73337 Bad Überkingen-Oberböhringen, Germany",+49 7331 64066,info@gc-bad-ueberkingen.de,Golfer's Club Bad Überkingen e.V.
"Pehritzscher Weg, D-04827 Machern, Germany",+49 34292 632241,info@gcc-leipzig.de,Golf & Country Club Leipzig
"Kerstingweg 10, D-59368 Werne, Germany",+49 2389 539060,buero@golfplatz-werne.de,Golfplatz Werne a. d. Lippe GmbH & Co. KG
"Lemsahler Landstraße 45, D-22397 Hamburg-Lemsahl, Germany",+49 40 608228877,golf@treudelberg.com,Golf & Country Club Treudelberg e.V.
"Schmäinghook 36, D-48683 Ahaus-Alstätte, Germany",+49 2567 405,info@glc-ahaus.de,Golf- und Landclub Ahaus e.V.
"Georgenthal 1, D-65329 Hohenstein, Germany",+49 6128 943523,golfclub@hofgut-georgenthal.de,Hofgut Georgenthal
"Am Theilberg 1, D-92287 Schmidmühlen, Germany",+49 9474 701,golf@glcs.bayern,Golf- und Landclub Schmidmühlen e.V.
"Oefte 1 / Laupendahler Landstraße, D-45219 Essen, Germany",+49 2054 83911,info@oefte.com,"Essener Golf-Club Haus Oefte e.V., Essen-Kettwig"
"Kohlhof 9, D-67117 Limburgerhof, Germany",+49 6236 479494,info@golfpark-kurpfalz.de,Golf-Club Kurpfalz e.V.
"Ardesstr. 82, D-47167 Duisburg, Germany",+49 203 4846725,golfrevierduisburg@gmail.com,Golfclub Röttgersbach
"Buchenring 6, D-55442 Stromberg, Germany",+49 6724 600700,golf@golfhotel-stromberg.de,Golf Club Stromberg-Schindeldorf e.V.
"Pfullinger Hof 1, D-74193 Schwaigern-Stetten, Germany",+49 7138 67442,golfoase@t-online.de,Golfanlage Golfoase Pfullinger Hof
"Am Golfplatz 1, D-82178 Puchheim, Germany",+49 89 95842022,muenchen@golfcity.de,GolfCity München Puchheim
"Freisinger Landstraße 60, D-80939 München, Germany",+49 89 36006410,info@citygolfcenter.de,City Golf Center München - Freimann
"Moosbachstraße 1, D-83026 Rosenheim-Happing, Germany",+49 8031 26699,info@citygolf.de,City Golf Rosenheim - GmbH
"Eggeberger Straße 13, D-33790 Halle/Westfalen, Germany",+49 5201 6279,post@gctw.de,Golfclub Teutoburger Wald Halle/Westfalen e.V.
"Weiherhof 4, D-86459 Gessertshausen OT Weiherhof, Germany",+49 8238 965119,GolfanlageWeiherhof@yahoo.de,Golfanlage Weiherhof
"Am Kattwinkel 244, D-48163 Münster, Germany",+49 2536 330100,info@gc-tinnen.de,Golfclub Münster-Tinnen e.V.
"Starnberger Weg 56, D-82110 Germering, Germany",+49 89 15001120,muenchen-germering@golfrange.de,GolfRange München-Germering Süd/Nord
"Am Holzgrund, D-37574 Einbeck-Immensen, Germany",+49 5561 982305,info@golfclub-einbeck.de,Golf und Country Club Leinetal Einbeck e.V.
"Seufzerallee 10, D-31319 Sehnde-Rethmar, Germany",+49 5138 700530,info@rethmargolf.de,Rethmar Golf
"Altenbrucher Damm 92a, D-47269 Duisburg, Germany",+49 203 7386286,info@golfandmore.net,Golf & More Duisburg
"Am Golfplatz 1, D-50259 Pulheim-Freimersdorf, Germany",+49 2234 999660,koeln@golfcity.de,GolfCity Köln Pulheim
"Römerhofweg, D-53332 Bornheim, Germany",+49 2222 931940,info@golfanlage-roemerhof.de,Golfanlage Römerhof
"Weilbach/Unterfranken, D-63916 Amorbach-Sansenhof, Germany",+49 9373 2180,info@golf-sansenhof.de,Golfclub Gut Sansenhof e.V.
"Malkendorfer Weg 18, D-23617 Stockelsdorf-Curau, Germany",+49 4505 594082,info@golfclub-curau.de,Golf-Club Curau e.V.
"Obere Hauptstraße 10, D-96132 Schlüsselfeld-Reichmannsdorf, Germany",+49 9546 5954964,info@golfanlage-reichmannsdorf.de,Golfclub Schloss Reichmannsdorf
"Am Königsgraben 1, D-16818 Wall, Germany",+49 33925 71135,info@golfinwall.de,Golf in Wall
"Akazienallee 84, D-45478 Mülheim an der Ruhr, Germany",+49 208 5805690,info@srs-enterprise.com,Golfclub Mülheim an der Ruhr Raffelberg e.V.
"Hetzenhof 7, D-73547 Lorch, Germany",+49 7172 91800,info@golfclub-hetzenhof.de,Golf Club Hetzenhof e.V.
"Am Martinszehnten 6, D-60437 Frankfurt am Main, Germany",+49 69 95092744,info@golfrange-ffm.de,Golf-Club Golf Range Frankfurt
"Im Schaderoder Grund, D-99090 Erfurt-Schaderode, Germany",+49 36208 80712,info@golfclub-erfurt.com,Golf Club Erfurt e.V.
"An der Elfrather Mühle 145, D-47802 Krefeld-Traar, Germany",+49 2151 49690,info@gcem.de,Golf & Country Club An der Elfrather Mühle e.V.
"Bergkramerhof, D-82515 Wolfratshausen, Germany",+49 8171 41910,info@gc-bergkramerhof.de,Golf- und Landclub Bergkramerhof e.V.
"Föhrenweg, D-15831 Mahlow, Germany",+49 3379 370595,info@gcmahlow.de,Golf Club Mahlow e.V.
"Hainhaus 22, D-30855 Langenhagen, Germany",+49 511 736832,info@golfclub-langenhagen.de,Golfclub Langenhagen e.V.
"Osloßer Weg 20, D-38556 Bokensdorf, Germany",+49 5366 1223,golfclub@wolfsburg.de,Golfclub Wolfsburg/Boldecker Land e.V.
"Gut Neuzenhof, Neuzenhof (An der L 631), D-68542 Heddesheim, Germany",+49 6204 97690,service@gc-heddesheim.de,Golfclub Heddesheim Gut Neuzenhof e.V.
"Oppenweher Straße 83, D-49419 Wagenfeld, Germany",+49 5444 9801690,info@golfpark-wagenfeld.de,Golfpark Wagenfeld
"Horn-Westerwinkel 5, D-59387 Ascheberg-Herbern, Germany",+49 2599 92222,domus-golf@gmx.de,Golfclub Wasserschloß Westerwinkel
"Oberaltenweg 7, D-79822 Titisee-Neustadt, Germany",+49 7651 935777,info@hochschwarzwald.golf,Golfclub Hochschwarzwald e.V.
"In der Lake 33, D-58456 Witten, Germany",+49 2302 7601600,info@golfclub-kemnadersee.de,Golfclub am Kemnader See e.V.
"Himmelreich 13, D-93462 Lam, Germany",+49 9943 37141,info@gc-sonnenhof-lam.de,Golfclub Sonnenhof
"Georg-Büchner-Str. 19, D-27574 Bremerhaven, Germany",+49 471 30998913,info@golf-bhv.de,Golfclub Bremerhaven GmbH & Co. KG
"Tannenweg 1, D-17213 Göhren-Lebbin, Germany",+49 39932 80400,info.golf@fleesensee.de,Golf & Country Club Fleesensee
"Am Golfplatz 1, D-85630 Harthausen, Germany",+49 8106 35440,info@golfanlage-harthausen.de,Golfanlage Harthausen
"Redder Str. 421, D-45711 Datteln-Ahsen, Germany",+49 2363 3770,golf@jammertal.de,Golfanlage Jammertal
"Waldshagen 3, D-24306 Bösdorf (bei Plön), Germany",+49 4522 766766,info@gut-waldshagen.de,Golfclub Gut Waldshagen
"Bergweg 10, D-04356 Leipzig-Seehausen, Germany",+49 341 5217442,info@golfparkleipzig.de,Golf Park Leipzig GmbH + Co. KG
"Hammetweil 10, D-72654 Neckartenzlingen, Germany",+49 7127 97430,info@gc-hammetweil.de,Golf Club Hammetweil
"Am Golfplatz 1, D-72361 Hausen am Tann - Balingen, Germany",+49 7436 1600,info@golf-er.de,Golf-ER Club Schwaben
"Jacobistraße 35, D-46119 Oberhausen, Germany",+49 208 2997335,info@gcob.de,Golfclub Oberhausen GmbH & Co. KG
"Kammer-Krummen-Straße 100, D-89233 Neu-Ulm, Germany",+49 731 7070111,info@newgolfclub.de,New Golf Club Neu-Ulm
"Billwerder Neuer Deich 40, D-20539 Hamburg, Germany",+49 40 81978790,mail@golflounge.de,Golf Lounge
"Kuckumer Straße 61, D-41189 Mönchengladbach-Wanlo, Germany",+49 2166 145722,info@mg-golfsport.de,Golfclub Mönchengladbach-Wanlo e.V.
"Ehner-Fahrnau 12, D-79650 Schopfheim, Germany",+49 7622 674760,post@golfanlage-schopfheim.de,Golfanlage Schopfheim
"Peiner Hag, D-25497 Prisdorf, Germany",+49 4101 73790,buero@peinerhof.de,Golf-Park Peiner Hof e.V.
"Vordere Moosstraße 19, D-85464 Eicherloh, Germany",+49 8123 1064,info@bavariangc.de,Bavarian Golfclub München-Eicherloh e.V.
"Höhenstr. 40, D-51588 Nümbrecht, Germany",+49 2293 303700,golfpark@nuembrecht.com,Golf-Park Nümbrecht
"Gebäude 8888, D-55774 Baumholder, Germany",+49 6783 8788,RollingHills@t-online.de,Rolling Hills Golf Club Baumholder e.V.
"Aalbeksweg, D-24644 Krogaspe, Germany",+49 4321 852993,info@golfpark-krogaspe.de,Golfpark Krogaspe
"Pappelallee 23a, D-18311 Ribnitz-Damgarten/OT Neuhof, Germany",+49 3821 894610,golf-fischland@t-online.de,"Golfclub ""Zum Fischland"" e.V."
"Abergsweg 30, D-46446 Emmerich, Germany",+49 2822 92710,golfclubborghees@aol.com,Golfclub Borghees e.V.
"An den Höfen 7, D-46569 Hünxe-Bruckhausen, Germany",+49 2064 33043,gc-bruckmannshof@t-online.de,Golfclub Bruckmannshof e.V.
"Lesumbroker Landstraße 70, D-28719 Bremen, Germany",+49 421 949340,info@bremer-golfclub-lesmona.de,Bremer Golfclub Lesmona e. V.
"Monrepos 26, D-71634 Ludwigsburg, Germany",+49 7141 220030,info@golfclub-monrepos.de,Golfclub Schloss Monrepos
"Schloss 3, D-46419 Isselburg-Anholt, Germany",+49 2874 915120,sekretariat@golfclub-anholt.de,Golf Club Wasserburg Anholt e.V.
"Münchenroda 29, D-07751 Jena, Germany",,club@golf-jena.de,Golfclub Jena e.V.
"Otto-Ernst-Straße 32, D-22605 Hamburg, Germany",+49 40 827208,info@gthgc.de,"Großflottbeker Tennis-, Hockey- u. Golf-Club e.V."
"Hirzerweg 61, D-12107 Berlin, Germany",+49 1520 7494123,golf@rennbahn-berlin.de,Golf Zentrum Berlin
"Krienitzweg 16, D-06112 Halle (Saale), Germany",+49 345 5806116,info@golfclub-halle.de,Golfpark Hufeisensee
"Schlossplatz 1, D-46342 Velen, Germany",+49 2863 2030,info@sportschlossvelen.de,Golfanlage SportSchloß Velen
"Sassnitz-Mukran, D-18546 Sassnitz, Germany",+49 171 1865646,info@golfaufruegen.de,Golfclub Sassnitz e.V.
"Am Golfplatz 2, D-18574 Garz OT Karnitz/Rügen, Germany",+49 38304 82470,info@golfclub-ruegen.de,Golfclub Rügen e.V.
"Am Golfplatz 3, D-79415 Bad Bellingen, Germany",+49 7635 824490,info@drei-thermen-golfresort.de,Drei Thermen Golfresort Markgräflerland
"Am Golfplatz 1, D-53844 Troisdorf, Germany",+49 2241 2327128,office@west-golf.com,West Golf GmbH & Co. KG
"Föllstraße 32a, D-86343 Königsbrunn, Germany",+49 8231 32637,info@gclechfeld.de,Golfclub Lechfeld e.V.
"Benzstraße 23, D-86343 Königsbrunn, Germany",+49 8231 34204,golfclub-koenigsbrunn@t-online.de,Öffentlicher Golfplatz Königsbrunn (Süd)
"Schaffhauser Str. 121, D-79713 Bad Säckingen, Germany",+49 7761 9381132,info@GolfparkBS.de,Golfpark Bad Säckingen
"Sanktjohanserstraße 42-44, D-83707 Bad Wiessee, Germany",+49 8022 660923,mail@wiesseegolf.com,WIESSEEGOLF.COM
"Trauterfing 31, D-84137 Vilsbiburg, Germany",+49 8741 968680,info@gc-vilsbiburg.de,Golfclub Vilsbiburg e.V.
"Großblittersdorfer Straße 321, D-66130 Saarbrücken-Güdingen, Germany",+49 681 9403280,b.laufersweiler@gmx.de,City-Golf-Academy Saarbrücken
"Schlossgut Neumagenheim, D-74389 Cleebronn, Germany",+49 7135 934520,info@golfplatz-cleebronn.de,Golfclub Cleebronn e.V.
"Holzkirchner Str. 14, D-83679 Sachsenkam, Germany",+49 8021 5520,info@golfplatz-tegernsee.de,Golfplatz Waakirchen Tegernsee
"Am Golfplatz 1, D-61169 Friedberg, Germany",+49 6031 1619980,office@golf-loewenhof.de,Golfpark am Löwenhof GmbH
"Oberlimberger Weg, D-66798 Wallerfangen - Gisingen, Germany",+49 6837 444800,info@golfclub-saarbruecken.de,Golf-Club Saarbrücken e.V.
"Vohren 41, D-48231 Warendorf, Germany",+49 2586 1792,info@golfpark-heidewald.de,Golfpark Heidewald Vohren
"Lüdersburger Straße 21, D-21379 Lüdersburg/Lüneburg, Germany",+49 4139 69700,info@schloss-luedersburg.de,GSL-Golfanlage Schloss Lüdersburg GmbH & Co. KG
"Johannastr. 37, D-45899 Gelsenkirchen, Germany",+49 209 503020,info@gcsh.de,Golfclub Schloß Horst
"Bültbek 31a, D-22962 Siek, Germany",+49 4107 851201,info@golfplatz-siek.de,Golfclub Siek/Ahrensburg
"Kirchheimer Straße 40, D-67273 Dackenheim, Germany",+49 6353 989212,info@golfgarten.de,Golfclub Deutsche Weinstraße e.V.
"Hotelübungsanlage Schlossberghof Marzoll, Schlossberg 5, D-83435 Bad Reichenhall-Marzoll, Germany",+49 8651 700541,info@schlossberghof.de,Golf am Schlossberg/Hotelübungsanlage Schlossberghof Marzoll - Golf Club Bad Reichenhall
"Golfanlage Penning, An der Rottwiese 2, D-94094 Rotthalmünster, Germany",+49 8532 92440,golfresort@quellness-golf.com,"Quellness Golf Resort Bad Griesbach, Beckenbauer Golf Course"
"Am Golfplatz 1, D-23968 Hohen Wieschendorf, Germany",+49 40 1818832225,info@golfclub-hohen-wieschendorf.de,Golfclub Hohen Wieschendorf e.V.
"Herrenkrug 4, D-39114 Magdeburg, Germany",+49 391 8868846,info@golfclub-magdeburg.de,GCM Golfclub Magdeburg e.V.
"Steinprügel 2, D-70329 Stuttgart Hedelfingen, Germany",+49 711 90110847,golf@sportkultur-stuttgart.de,GolfKultur Stuttgart
"Im Teilergrund 1, D-76437 Rastatt-Plittersdorf, Germany",+49 7222 154209,info@gcaltrhein.de,Golfclub Altrhein e.V.
"Am Golfplatz 1, D-91189 Nemsdorf, Germany",+49 911 9880680,nuernberg@golfrange.de,GolfRange Nürnberg
"Gut Escheberg, D-34289 Zierenberg, Germany",+49 5606 2608,sekretariat@golfclub-escheberg.de,Golf Club Zierenberg Gut Escheberg e.V.
"Panzer Str. 1, D-29303 Lohheide, Germany",+49 5051 4393,info@bergen-hohne-golfclub.com,Bergen-Hohne Golfclub e.V.
"Parallelweg 1, D-50769 Köln-Roggendorf/Thenhoven, Germany",+49 221 784018,info@koelngolf.de,KölnGolf
"Vohren 41, D-48231 Warendorf, Germany",+49 2586 1792,info@warendorfer-golfclub.de,Warendorfer Golfclub An der Ems
